
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::1]:44300            [::1]:56987            ESTABLISHED     4
  TCP    [::1]:49154            [::1]:57087            ESTABLISHED     4
  TCP    [::1]:49700            [::]:0                 LISTENING       5584
  TCP    [::1]:50570            [::]:0                 LISTENING       11536
  TCP    [::1]:51000            [::1]:59687            ESTABLISHED     4
  TCP    [::1]:51000            [::1]:60139            ESTABLISHED     4
  TCP    [::1]:56981            [::1]:58411            TIME_WAIT       0
  TCP    [::1]:56986            [::1]:58411            ESTABLISHED     31736
  TCP    [::1]:56987            [::1]:44300            ESTABLISHED     31736
  TCP    [::1]:56999            [::1]:7135             ESTABLISHED     31736
  TCP    [::1]:57087            [::1]:49154            ESTABLISHED     19660
  TCP    [::1]:57194            [::1]:9229             SYN_SENT        25392
  TCP    [::1]:57195            [::1]:9229             SYN_SENT        3724
  TCP    [::1]:58411            [::1]:56986            ESTABLISHED     4
  TCP    [::1]:58411            [::1]:63036            CLOSE_WAIT      4
  TCP    [::1]:59687            [::1]:51000            ESTABLISHED     4800
  TCP    [::1]:60139            [::1]:51000            ESTABLISHED     4800
  TCP    [::1]:60140            [::1]:4200             ESTABLISHED     21116
  TCP    [::1]:63036            [::1]:58411            FIN_WAIT_2      21080
  UDP    0.0.0.0:53             *:*                                    4536
  UDP    0.0.0.0:53             *:*                                    4536
  UDP    0.0.0.0:123            *:*                                    1596
  UDP    0.0.0.0:500            *:*                                    4632
  UDP    0.0.0.0:3389           *:*                                    1548
  UDP    0.0.0.0:3702           *:*                                    33396
  UDP    0.0.0.0:3702           *:*                                    33396
  UDP    0.0.0.0:4500           *:*                                    4632
  UDP    0.0.0.0:5050           *:*                                    11140
  UDP    0.0.0.0:5353           *:*                                    20304
  UDP    0.0.0.0:5353           *:*                                    25392
  UDP    0.0.0.0:5353           *:*                                    12444
  UDP    0.0.0.0:5353           *:*                                    12444
  UDP    0.0.0.0:5353           *:*                                    3724
  UDP    0.0.0.0:5353           *:*                                    3724
  UDP    0.0.0.0:5353           *:*                                    12444
  UDP    0.0.0.0:5353           *:*                                    1912
  UDP    0.0.0.0:5353           *:*                                    25392
  UDP    0.0.0.0:5353           *:*                                    3724
  UDP    0.0.0.0:5353           *:*                                    12444
  UDP    0.0.0.0:5353           *:*                                    20304
  UDP    0.0.0.0:5353           *:*                                    25392
  UDP    0.0.0.0:5353           *:*                                    20304
  UDP    0.0.0.0:5353           *:*                                    3724
  UDP    0.0.0.0:5353           *:*                                    25392
  UDP    0.0.0.0:5353           *:*                                    25392
  UDP    0.0.0.0:5353           *:*                                    20304
  UDP    0.0.0.0:5353           *:*                                    12444
